,PostOfficeName,Pincode,DistrictsName,City,State
0,Aberdeen Bazar,744104.0,A&N Islands,Port Blair,Andaman Nicobar
1,Bakultala,744208.0,A&N Islands,Port Blair,Andaman Nicobar
2,Bambooflat,744107.0,A&N Islands,Port Blair,Andaman Nicobar
3,Betapur,744201.0,A&N Islands,Port Blair,Andaman Nicobar
4,Campbell Bay,744302.0,A&N Islands,Port Blair,Andaman Nicobar
5,Car Nicobar,744301.0,Car Nicobar,Car Nicobar,Andaman Nicobar
6,Diglipur,744202.0,A&N Islands,Port Blair,Andaman Nicobar
7,Haddo,744102.0,A&N Islands,Port Blair,Andaman Nicobar
8,Havelock,744211.0,A&N Islands,Port Blair,Andaman Nicobar
9,Hut Bay,744207.0,A&N Islands,Port Blair,Andaman Nicobar
10,Jangli Ghat,744103.0,A&N Islands,Port Blair,Andaman Nicobar
11,Kadamtala A & N,744209.0,A&N Islands,Port Blair,Andaman Nicobar
12,Kapanga,744304.0,A&N Islands,Port Blair,Andaman Nicobar
13,Long Island,744203.0,A&N Islands,Port Blair,Andaman Nicobar
14,Marine Jetty,744101.0,A&N Islands,Port Blair,Andaman Nicobar
15,Mayabunder,744204.0,A&N Islands,Port Blair,Andaman Nicobar
16,N S Building,744101.0,A&N Islands,Port Blair,Andaman Nicobar
17,Nancowrie,744303.0,A&N Islands,Port Blair,Andaman Nicobar
18,Neel Island,744104.0,A&N Islands,Port Blair,Andaman Nicobar
19,New Secretariate Bldg,744105.0,A&N Islands,Port Blair,Andaman Nicobar
20,Oralkatcha,744210.0,A&N Islands,Port Blair,Andaman Nicobar
21,Port Blair,744101.0,A&N Islands,Port Blair,Andaman Nicobar
22,Ranghat,744205.0,A&N Islands,Port Blair,Andaman Nicobar
23,Shadipur,744106.0,A&N Islands,Port Blair,Andaman Nicobar
24,Wimberlygunji,744206.0,A&N Islands,Port Blair,Andaman Nicobar
25,A C Nagar,524002.0,Nellore,Nellore,Andhra Pradesh
26,A C Palli,508207.0,Nalgonda,Nalgonda,Andhra Pradesh
27,A G M Colony,504251.0,Adilabad,Adilabad,Andhra Pradesh
28,A G'S Office,500463.0,Hyderabad,Hyderabad,Andhra Pradesh
29,A G'S Office Staff,500890.0,Hyderabad,Hyderabad,Andhra Pradesh
30,A M A L College,531001.0,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh
31,A P E R L,500030.0,Hyderabad,Hyderabad,Andhra Pradesh
32,A P S E Board,500049.0,Hyderabad,Hyderabad,Andhra Pradesh
33,A Raichur,509343.0,Mahboobnagar,Mahboobnagar,Andhra Pradesh
34,A T Agraharam,522004.0,Guntur,Guntur,Andhra Pradesh
35,A T P Collectorate,515001.0,Anantapur,Anantapur,Andhra Pradesh
36,Aallagadda,518543.0,Kurnool,Kurnool,Andhra Pradesh
37,Abadi Ghanpur,506144.0,Warangal,Warangal,Andhra Pradesh
38,Abadi Ramagundam,505208.0,Karimnagar,Karimnagar,Andhra Pradesh
39,Abbinenigunta Palem,522015.0,Guntur,Guntur,Andhra Pradesh
40,Abburu,522403.0,Guntur,Guntur,Andhra Pradesh
41,Ac Guards,500004.0,Hyderabad,Hyderabad,Andhra Pradesh
42,Academy,500252.0,Hyderabad,Hyderabad,Andhra Pradesh
43,Achampet,509375.0,Mahboobnagar,Lingotam,Andhra Pradesh
44,Achanta,534123.0,West Godavari,Achanta,Andhra Pradesh
45,Achutapuram,531011.0,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh
46,Adarsh Nagar,504001.0,Adilabad,Adilabad,Andhra Pradesh
47,Adarsh Nagar,500463.0,Hyderabad,Hyderabad,Andhra Pradesh
48,Addanki,523201.0,Prakasam,Addanki,Andhra Pradesh
49,Addanki Gate,523001.0,Prakasam,Prakasam,Andhra Pradesh
50,Addatigala,533428.0,East Godavari,East Godavari,Andhra Pradesh
51,Adilabad,504001.0,Adilabad,Adilabad,Andhra Pradesh
52,Adilabad Collecotorate,504002.0,Adilabad,Adilabad,Andhra Pradesh
53,Adivarampet,505188.0,Karimnagar,Adivarampet,Andhra Pradesh
54,Adm Bldgs,507101.0,Khammam,Khammam,Andhra Pradesh
55,Administrative Building,500007.0,Hyderabad,Hyderabad,Andhra Pradesh
56,Administrative Building,500032.0,Hyderabad,Hyderabad,Andhra Pradesh
57,Adoni,518301.0,Kurnool,Adoni,Andhra Pradesh
58,Adoni Arts College,518302.0,Kurnool,Kurnool,Andhra Pradesh
59,Adoni Cotton Market,518301.0,Kurnool,Kurnool,Andhra Pradesh
60,Adoni Town,518301.0,Kurnool,Kurnool,Andhra Pradesh
61,Adsarla Pally,508367.0,Nalgonda,Nalgonda,Andhra Pradesh
62,Advanced Training Institute,500007.0,Hyderabad,Hyderabad,Andhra Pradesh
63,Advula Divi,522263.0,Guntur,Guntur,Andhra Pradesh
64,Afzal Gunj,500012.0,Hyderabad,Hyderabad,Andhra Pradesh
65,Agadur,516421.0,Cuddapah,Agadur,Andhra Pradesh
66,Agali,515311.0,Anantapur,Anantapur,Andhra Pradesh
67,Agnoor,501146.0,Ranga Reddy,Agnoor,Andhra Pradesh
68,Agraharam,522270.0,Guntur,Guntur,Andhra Pradesh
69,Agraharam,534196.0,West Godavari,West Godavari,Andhra Pradesh
70,Agri Market Yard,522004.0,Guntur,Guntur,Andhra Pradesh
71,Agricultural College Jubilee,500030.0,Hyderabad,Hyderabad,Andhra Pradesh
72,Ahmed Nagar,500028.0,Hyderabad,Hyderabad,Andhra Pradesh
73,Ahmed Nagar,523155.0,Prakasam,Prakasam,Andhra Pradesh
74,Ainapur,501522.0,Ranga Reddy,Ainapur,Andhra Pradesh
75,Ainavolu,522659.0,Guntur,Guntur,Andhra Pradesh
76,Air Force Academy,500043.0,Hyderabad,Hyderabad,Andhra Pradesh
77,Aitipamula,508216.0,Nalgonda,Nalgonda,Andhra Pradesh
78,Ajit Nagar,520015.0,Krishna,Krishna,Andhra Pradesh
79,Ajjada,532552.0,Srikakulam,Ajjada,Andhra Pradesh
80,Ajjaram,534339.0,West Godavari,West Godavari,Andhra Pradesh
81,Akepadu,516132.0,Cuddapah,Cuddapah,Andhra Pradesh
82,Akividu,534235.0,West Godavari,West Godavari,Andhra Pradesh
83,Akividu Bazar,534235.0,West Godavari,West Godavari,Andhra Pradesh
84,Akkalareddy Palle,516506.0,Kurnool,Kurnool,Andhra Pradesh
85,Akkayyapelem,530016.0,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh
86,Akkupalle,532219.0,Srikakulam,Srikakulam,Andhra Pradesh
87,Akkurti,517536.0,Chittoor,Chittoor,Andhra Pradesh
88,Akumalla,518196.0,Kurnool,Kurnool,Andhra Pradesh
89,Akunuru,521245.0,Krishna,Krishna,Andhra Pradesh
90,Akuthotapally,509362.0,Mahboobnagar,Mahboobnagar,Andhra Pradesh
91,Alamanda R S,531240.0,Vizianagaram,Vizianagaram,Andhra Pradesh
92,Alampur,509152.0,Mahboobnagar,Mahboobnagar,Andhra Pradesh
93,Alamuru,533233.0,East Godavari,East Godavari,Andhra Pradesh
94,Alamuru,534126.0,West Godavari,West Godavari,Andhra Pradesh
95,Alcot Gardens,533101.0,East Godavari,East Godavari,Andhra Pradesh
96,Algunur,505533.0,Karimnagar,Karimnagar,Andhra Pradesh
97,Alipur,505330.0,Karimnagar,Karimnagar,Andhra Pradesh
98,Alir,508101.0,Nalgonda,Nalgonda,Andhra Pradesh
99,Alla Durg,502269.0,Medak,Medak,Andhra Pradesh
100,Allagadda North,518543.0,Kurnool,Kurnool,Andhra Pradesh
101,Allavaram,533217.0,East Godavari,East Godavari,Andhra Pradesh
102,Allipur,502310.0,Medak,Medak,Andhra Pradesh
103,Allipuram,530004.0,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh
104,Allor,503214.0,Nizamabad,Nizamabad,Andhra Pradesh
105,Allur,524315.0,Nellore,Nellore,Andhra Pradesh
106,Allurpet,524315.0,Nellore,Nellore,Andhra Pradesh
107,Alluru,509150.0,Mahboobnagar,Mahboobnagar,Andhra Pradesh
108,Aloor,501514.0,Ranga Reddy,Ranga Reddy,Andhra Pradesh
109,Alur,518395.0,Kurnool,Kurnool,Andhra Pradesh
110,Alwal Pahad,509149.0,Mahboobnagar,Mahboobnagar,Andhra Pradesh
111,Amada Bakula,509388.0,Mahboobnagar,Mahboobnagar,Andhra Pradesh
112,Amadagur,515566.0,Anantapur,Anantapur,Andhra Pradesh
113,Amadala Valasa,532185.0,Srikakulam,Srikakulam,Andhra Pradesh
114,Amadalavalasa Gate,532185.0,Srikakulam,Srikakulam,Andhra Pradesh
115,Amadapur,501504.0,Ranga Reddy,Ranga Reddy,Andhra Pradesh
116,Amalapuram,533201.0,East Godavari,Amalapuram,Andhra Pradesh
117,Amalapuram Bus Complex,533201.0,East Godavari,East Godavari,Andhra Pradesh
118,Amalla Dinne,515445.0,Anantapur,Anantapur,Andhra Pradesh
119,Amangal,509321.0,Mahboobnagar,Mahboobnagar,Andhra Pradesh
120,Amarabad,509201.0,Mahboobnagar,Mahboobnagar,Andhra Pradesh
121,Amarapuram,515281.0,Anantapur,Anantapur,Andhra Pradesh
122,Amaravathi Guntur,522020.0,Guntur,Guntur,Andhra Pradesh
123,Amaravati Road,522007.0,Guntur,Guntur,Andhra Pradesh
124,Amarchinta,509130.0,Mahboobnagar,Mahboobnagar,Andhra Pradesh
125,Amarvoi,509142.0,Mahboobnagar,Mahboobnagar,Andhra Pradesh
126,Ambajipeta,533214.0,East Godavari,East Godavari,Andhra Pradesh
127,Ambam,503235.0,Nizamabad,Nizamabad,Andhra Pradesh
128,Ambaripet,505306.0,Karimnagar,Karimnagar,Andhra Pradesh
129,Ambedkar Nagar,502103.0,Medak,Medak,Andhra Pradesh
130,Amberpet,500013.0,Hyderabad,Hyderabad,Andhra Pradesh
131,Ameerpet,500016.0,Hyderabad,Hyderabad,Andhra Pradesh
132,Amerpeta,509330.0,Mahboobnagar,Mahboobnagar,Andhra Pradesh
133,Amidyala Mopidi,515822.0,Anantapur,Anantapur,Andhra Pradesh
134,Ammana Brolu Raparla,523180.0,Prakasam,Prakasam,Andhra Pradesh
135,Ampole,532015.0,Srikakulam,Srikakulam,Andhra Pradesh
136,Amrut Nagar,508219.0,Nalgonda,Nalgonda,Andhra Pradesh
137,Amrutalur,522325.0,Guntur,Guntur,Andhra Pradesh
138,Anajpur,508290.0,Nalgonda,Nalgonda,Andhra Pradesh
139,Anakapalle,531001.0,Vishakhapatnam,Anakapalle,Andhra Pradesh
140,Anakapalle Bazar,531001.0,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh
141,Anakapalle Bus Stand,531001.0,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh
142,Anakapalle R S,531001.0,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh
143,Anand Nagar,500004.0,Hyderabad,Hyderabad,Andhra Pradesh
144,Anandapeta,522003.0,Guntur,Guntur,Andhra Pradesh
145,Anandapuram,530042.0,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh
146,Anantapalli,534111.0,West Godavari,West Godavari,Andhra Pradesh
147,Anantapur,515001.0,Anantapur,Anantapur,Andhra Pradesh
148,Anantapur Engineering College,515002.0,Anantapur,Anantapur,Andhra Pradesh
149,Anantapuram,516357.0,Cuddapah,Cuddapah,Andhra Pradesh
150,Anantarajupeta,516105.0,Cuddapah,Cuddapah,Andhra Pradesh
151,Anantarajupuram,516228.0,Cuddapah,Cuddapah,Andhra Pradesh
152,Anantasagaram,524302.0,Nellore,Nellore,Andhra Pradesh
153,Anantavaram,533222.0,East Godavari,East Godavari,Andhra Pradesh
154,Anantavaram,522301.0,Guntur,Guntur,Andhra Pradesh
155,Anantavarappadu Guntur,522014.0,Guntur,Guntur,Andhra Pradesh
156,Anantha Giripalle,501105.0,Ranga Reddy,Ranga Reddy,Andhra Pradesh
157,Ananthaiahgiri Pally,516116.0,Cuddapah,Cuddapah,Andhra Pradesh
158,Anaparthi,533342.0,East Godavari,East Godavari,Andhra Pradesh
159,Anaparthi Old Town,533342.0,East Godavari,East Godavari,Andhra Pradesh
160,Anata Giri,501201.0,Ranga Reddy,Ranga Reddy,Andhra Pradesh
161,Andhra Kesari Nagar,524004.0,Nellore,Nellore,Andhra Pradesh
162,Andhra Mahila Sabha,500044.0,Hyderabad,Hyderabad,Andhra Pradesh
163,Andhra Nagar,503215.0,Nizamabad,Nizamabad,Andhra Pradesh
164,Andhra University,530003.0,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh
165,Andole,502273.0,Medak,Medak,Andhra Pradesh
166,Anemadugu,524203.0,Nellore,Nellore,Andhra Pradesh
167,Angala Kuduru,522211.0,Guntur,Guntur,Andhra Pradesh
168,Angalur,521330.0,Krishna,Krishna,Andhra Pradesh
169,Angara,533307.0,East Godavari,East Godavari,Andhra Pradesh
170,Anjapur,508290.0,Nalgonda,Nalgonda,Andhra Pradesh
171,Annanta Giri,508227.0,Nalgonda,Nalgonda,Andhra Pradesh
172,Annavaram,533406.0,East Godavari,East Godavari,Andhra Pradesh
173,Annuma Samudrmpeta,524304.0,Nellore,Nellore,Andhra Pradesh
174,Antarvedipalem,533252.0,East Godavari,East Godavari,Andhra Pradesh
175,Anthakpet,505466.0,Karimnagar,Karimnagar,Andhra Pradesh
176,Anthergaon Textiles,505514.0,Karimnagar,Karimnagar,Andhra Pradesh
177,Anumanchipalli,521176.0,Krishna,Krishna,Andhra Pradesh
178,Appannapalle,533557.0,East Godavari,East Godavari,Andhra Pradesh
179,Apparao St,517325.0,Chittoor,Chittoor,Andhra Pradesh
180,Appecherla,515455.0,Anantapur,Anantapur,Andhra Pradesh
181,Appi Katla,522310.0,Guntur,Guntur,Andhra Pradesh
182,Apsp Camp,533005.0,East Godavari,East Godavari,Andhra Pradesh
183,Apsp Camp,500049.0,Hyderabad,Hyderabad,Andhra Pradesh
184,Apsp Colony,522503.0,Guntur,Guntur,Andhra Pradesh
185,Apsp Quarters,531230.0,Vizianagaram,Vizianagaram,Andhra Pradesh
186,Araku Colony,531149.0,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh
187,Araku R S,531151.0,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh
188,Arasa Villi,532401.0,Srikakulam,Srikakulam,Andhra Pradesh
189,Aravalli,534230.0,West Godavari,West Godavari,Andhra Pradesh
190,Aravind Nagar,515001.0,Anantapur,Anantapur,Andhra Pradesh
191,Aremanipadu,524119.0,Nellore,Nellore,Andhra Pradesh
192,Armoor,503224.0,Nizamabad,Nizamabad,Andhra Pradesh
193,Armoor Bus Station,503224.0,Nizamabad,Nizamabad,Andhra Pradesh
194,Armoor Old Town,503224.0,Nizamabad,Nizamabad,Andhra Pradesh
195,Arogyavaram,517330.0,Chittoor,Chittoor,Andhra Pradesh
196,Arror,508112.0,Nalgonda,Nalgonda,Andhra Pradesh
197,Arthavidu,523335.0,Prakasam,Prakasam,Andhra Pradesh
198,Arugolanu,521114.0,Krishna,Krishna,Andhra Pradesh
199,Arugolanu,534152.0,West Godavari,West Godavari,Andhra Pradesh
200,Arugonda,517129.0,Chittoor,Chittoor,Andhra Pradesh
201,Arundal Pet,520002.0,Krishna,Krishna,Andhra Pradesh
202,Arundalpet,522002.0,Guntur,Guntur,Andhra Pradesh
203,Arundalpet,522601.0,Guntur,Guntur,Andhra Pradesh
204,Arya Nagar,502220.0,Medak,Medak,Andhra Pradesh
205,Aryapuram,533104.0,East Godavari,East Godavari,Andhra Pradesh
206,Asappannapet,505173.0,Karimnagar,Karimnagar,Andhra Pradesh
207,Ashok Nagar,500020.0,Hyderabad,Hyderabad,Andhra Pradesh
208,Ashok Nagar,518005.0,Kurnool,Kurnool,Andhra Pradesh
209,Ashok Nagar,506133.0,Warangal,Warangal,Andhra Pradesh
210,Ashwapur,507116.0,Khammam,Khammam,Andhra Pradesh
211,Asif Nagar,500028.0,Hyderabad,Hyderabad,Andhra Pradesh
212,Asifabad,504293.0,Adilabad,Asifabad,Andhra Pradesh
213,Aspari,518347.0,Kurnool,Kurnool,Andhra Pradesh
214,Aswaraopet,507301.0,Khammam,Khammam,Andhra Pradesh
215,Atchampeta,522409.0,Guntur,Guntur,Andhra Pradesh
216,Atchutapuram,531011.0,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh
217,Atlur,516501.0,Cuddapah,Cuddapah,Andhra Pradesh
218,Atmakur,515751.0,Anantapur,Anantapur,Andhra Pradesh
219,Atmakur,518422.0,Kurnool,Kurnool,Andhra Pradesh
220,Atmakur,502292.0,Medak,Medak,Andhra Pradesh
221,Atmakur,508111.0,Nalgonda,Nalgonda,Andhra Pradesh
222,Atmakur,524322.0,Nellore,Nellore,Andhra Pradesh
223,Atmakur,506342.0,Warangal,Warangal,Andhra Pradesh
224,Atmakur Amarchinta,509131.0,Mahboobnagar,Mahboobnagar,Andhra Pradesh
225,Atreyapuram,533235.0,East Godavari,East Godavari,Andhra Pradesh
226,Attili,534134.0,West Godavari,West Godavari,Andhra Pradesh
227,Attili Bazar,534134.0,West Godavari,West Godavari,Andhra Pradesh
228,Aukiripalli,521211.0,Krishna,Krishna,Andhra Pradesh
229,Aura Palli,509363.0,Mahboobnagar,Mahboobnagar,Andhra Pradesh
230,Autonagar,530012.0,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh
231,Avanigadda,521121.0,Krishna,Krishna,Andhra Pradesh
232,Avanigadda Bazar,521121.0,Krishna,Krishna,Andhra Pradesh
233,Avidi,533230.0,East Godavari,East Godavari,Andhra Pradesh
234,Avn College Road,530001.0,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh
235,Ayithe Palle,517109.0,Chittoor,Chittoor,Andhra Pradesh
236,Ayodyanagar,520003.0,Krishna,Krishna,Andhra Pradesh
237,Ayyavaripalle,517278.0,Chittoor,Chittoor,Andhra Pradesh
238,Aziz Nagar,501504.0,Ranga Reddy,Ranga Reddy,Andhra Pradesh
239,B K Guda,500038.0,Hyderabad,Hyderabad,Andhra Pradesh
240,B T Project,515862.0,Anantapur,Anantapur,Andhra Pradesh
241,Bacon Factory,521102.0,Krishna,Krishna,Andhra Pradesh
242,Badvel,516227.0,Cuddapah,Cuddapah,Andhra Pradesh
243,Badvel Bus Stand,516227.0,Cuddapah,Cuddapah,Andhra Pradesh
244,Bahadur Purra,500264.0,Hyderabad,Hyderabad,Andhra Pradesh
245,Baireddi Palle,517415.0,Chittoor,Chittoor,Andhra Pradesh
246,Bakaram,500048.0,Hyderabad,Hyderabad,Andhra Pradesh
247,Bakarapet,517194.0,Chittoor,Chittoor,Andhra Pradesh
248,Bala Nagar,509202.0,Mahboobnagar,Mahboobnagar,Andhra Pradesh
249,Balaji Nagar,522202.0,Guntur,Guntur,Andhra Pradesh
250,Balaji Nagar,508206.0,Nalgonda,Nalgonda,Andhra Pradesh
251,Balaji Nagar,524002.0,Nellore,Nellore,Andhra Pradesh
252,Balapanur,516484.0,Cuddapah,Cuddapah,Andhra Pradesh
253,Balaramunipeta,521001.0,Krishna,Krishna,Andhra Pradesh
254,Balathimmaya Gari,516484.0,Cuddapah,Cuddapah,Andhra Pradesh
255,Balaya Palli,524129.0,Nellore,Nellore,Andhra Pradesh
256,Balijapalle,517561.0,Chittoor,Chittoor,Andhra Pradesh
257,Baliji Peta,532557.0,Vizianagaram,Vizianagaram,Andhra Pradesh
258,Balkonda,503217.0,Nizamabad,Balkonda,Andhra Pradesh
259,Balusupadu,521177.0,Krishna,Balusupadu,Andhra Pradesh
260,Banagana Palle,518124.0,Kurnool,Kurnool,Andhra Pradesh
261,Banaganapalle,518124.0,Kurnool,Kurnool,Andhra Pradesh
262,Bandankal,505407.0,Karimnagar,Bandankal,Andhra Pradesh
263,Bandar Lanka,533221.0,East Godavari,East Godavari,Andhra Pradesh
264,Bandarupalle,522021.0,Guntur,Guntur,Andhra Pradesh
265,Bandi Atmakur,518523.0,Kurnool,Kurnool,Andhra Pradesh
266,Bandi Palem,521179.0,Krishna,Krishna,Andhra Pradesh
267,Bandla Mottu,522663.0,Guntur,Guntur,Andhra Pradesh
268,Bandlamudi,523226.0,Prakasam,Prakasam,Andhra Pradesh
269,Bangaraopet,524404.0,Nellore,Nellore,Andhra Pradesh
270,Bangaru Palem,517416.0,Chittoor,Chittoor,Andhra Pradesh
271,Banigandla Pahad,507202.0,Khammam,Khammam,Andhra Pradesh
272,Banjara Hills Hyderabad,500034.0,Hyderabad,Hyderabad,Andhra Pradesh
273,Bank Street,508213.0,Nalgonda,Nalgonda,Andhra Pradesh
274,Banswada,503187.0,Nizamabad,Banswada,Andhra Pradesh
275,Banswada Bazar,503187.0,Nizamabad,Nizamabad,Andhra Pradesh
276,Bapuji Nagar,506003.0,Warangal,Warangal,Andhra Pradesh
277,Bara E Imam,502103.0,Medak,Medak,Andhra Pradesh
278,Bardipur,503231.0,Nizamabad,Bardipur,Andhra Pradesh
279,Barkatpura,500027.0,Hyderabad,Hyderabad,Andhra Pradesh
280,Baruva,532263.0,Srikakulam,Srikakulam,Andhra Pradesh
281,Baruva R S,532264.0,Srikakulam,Srikakulam,Andhra Pradesh
282,Basant Nagar,505187.0,Karimnagar,Karimnagar,Andhra Pradesh
283,Basar,504101.0,Adilabad,Adilabad,Andhra Pradesh
284,Basavanahalli,515306.0,Anantapur,Anantapur,Andhra Pradesh
285,Basheer Bagh,500001.0,Hyderabad,Hyderabad,Andhra Pradesh
286,Basheerabad,501143.0,Ranga Reddy,Ranga Reddy,Andhra Pradesh
287,Batasingaram,501528.0,Ranga Reddy,Ranga Reddy,Andhra Pradesh
288,Batchupeta,521001.0,Krishna,Krishna,Andhra Pradesh
289,Bathala Palle,515661.0,Anantapur,Anantapur,Andhra Pradesh
290,Battilli,532456.0,Srikakulam,Srikakulam,Andhra Pradesh
291,Bayanapalle,516164.0,Cuddapah,Cuddapah,Andhra Pradesh
292,Bayaram,507127.0,Khammam,Khammam,Andhra Pradesh
293,Bayyaram,507211.0,Khammam,Khammam,Andhra Pradesh
294,Bazar Ghat,500004.0,Hyderabad,Hyderabad,Andhra Pradesh
295,Bazole,533242.0,East Godavari,East Godavari,Andhra Pradesh
296,Beat Bazar,506002.0,Warangal,Warangal,Andhra Pradesh
297,Beerappagadda,500039.0,Hyderabad,Hyderabad,Andhra Pradesh
298,Begampet,505188.0,Karimnagar,Karimnagar,Andhra Pradesh
299,Begum Bazar,500012.0,Hyderabad,Hyderabad,Andhra Pradesh
300,Begumpet,500016.0,Hyderabad,Hyderabad,Andhra Pradesh
301,Begumpet Police Lines,500003.0,Hyderabad,Hyderabad,Andhra Pradesh
302,Bejjanki,505528.0,Karimnagar,Karimnagar,Andhra Pradesh
303,Bela,504324.0,Adilabad,Adilabad,Andhra Pradesh
304,Belalgal,518462.0,Kurnool,Kurnool,Andhra Pradesh
305,Bellam Konda,522411.0,Guntur,Guntur,Andhra Pradesh
306,Bellam Palli,504251.0,Adilabad,Adilabad,Andhra Pradesh
307,Bellampalli Basti,504251.0,Adilabad,Adilabad,Andhra Pradesh
308,Bellampalli R S,504251.0,Adilabad,Adilabad,Andhra Pradesh
309,Bellavista,500049.0,Hyderabad,Hyderabad,Andhra Pradesh
310,Belu Guppa,515741.0,Anantapur,Anantapur,Andhra Pradesh
311,Benarjipeta,534001.0,West Godavari,West Godavari,Andhra Pradesh
312,Benda Pudi,533409.0,West Godavari,West Godavari,Andhra Pradesh
313,Bendamur Lanka,533210.0,East Godavari,East Godavari,Andhra Pradesh
314,Beripet,524126.0,Nellore,Nellore,Andhra Pradesh
315,Besent Road Civil Court,520002.0,Krishna,Krishna,Andhra Pradesh
316,Betamcherla,518599.0,Kurnool,Kurnool,Andhra Pradesh
317,Bethapudi,522279.0,Guntur,Guntur,Andhra Pradesh
318,Bethavolu,521301.0,Krishna,Krishna,Andhra Pradesh
319,Bhadrachalam,507111.0,Khammam,Bhadrachalam,Andhra Pradesh
320,Bhageswaram,534251.0,West Godavari,West Godavari,Andhra Pradesh
321,Bhagya Nagar,504001.0,Adilabad,Adilabad,Andhra Pradesh
322,Bhagya Nagar,518004.0,Kurnool,Kurnool,Andhra Pradesh
323,Bhainsa,504103.0,Adilabad,Bhainsa,Andhra Pradesh
324,Bhajana Mandir,507101.0,Khammam,Khammam,Andhra Pradesh
325,Bhaninagar Court Road,517501.0,Chittoor,Chittoor,Andhra Pradesh
326,Bharat Heavy Plates And V,530012.0,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh
327,Bharat Nagar,502103.0,Medak,Medak,Andhra Pradesh
328,Bharpet,518301.0,Kurnool,Kurnool,Andhra Pradesh
329,Bhaskar Nagar,533003.0,East Godavari,East Godavari,Andhra Pradesh
330,Bhaskarapuram Bus Stand,521001.0,Krishna,Krishna,Andhra Pradesh
331,Bhatla Penu Marru,521140.0,Krishna,Krishna,Andhra Pradesh
332,Bhatti Prolu,522256.0,Guntur,Guntur,Andhra Pradesh
333,Bhavadevara Palle,521118.0,Krishna,Krishna,Andhra Pradesh
334,Bhawan Puram,521231.0,Krishna,Krishna,Andhra Pradesh
335,Bhawani Nagar,500002.0,Hyderabad,Hyderabad,Andhra Pradesh
336,Bhawanpet,503115.0,Nizamabad,Nizamabad,Andhra Pradesh
337,Bhee Mali,531241.0,Vizianagaram,Vizianagaram,Andhra Pradesh
338,Bheemana Palle,533514.0,East Godavari,East Godavari,Andhra Pradesh
339,Bheemanipatnam,531163.0,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh
340,Bheemaran,504204.0,Adilabad,Adilabad,Andhra Pradesh
341,Bhemadeverapalli,505471.0,Karimnagar,Karimnagar,Andhra Pradesh
342,Bhiknoor,503101.0,Nizamabad,Nizamabad,Andhra Pradesh
343,Bhimagal,503307.0,Nizamabad,Nizamabad,Andhra Pradesh
344,Bhimavaram,517106.0,Chittoor,Chittoor,Andhra Pradesh
345,Bhimavaram,534201.0,West Godavari,West Godavari,Andhra Pradesh
346,Bhimavaram Bazar,534301.0,West Godavari,West Godavari,Andhra Pradesh
347,Bhimavaram Railway,534203.0,West Godavari,West Godavari,Andhra Pradesh
348,Bhimavarapu Kota,533410.0,East Godavari,East Godavari,Andhra Pradesh
349,Bhimeswarlayam,534301.0,West Godavari,West Godavari,Andhra Pradesh
350,Bhimgal Bus Stand,503307.0,Nizamabad,Nizamabad,Andhra Pradesh
351,Bhimpalli,505101.0,Kurnool,Kurnool,Andhra Pradesh
352,Bhogapuram,531216.0,Vizianagaram,Vizianagaram,Andhra Pradesh
353,Bhogir R S,508116.0,Nalgonda,Nalgonda,Andhra Pradesh
354,Bhoiguda,500003.0,Hyderabad,Hyderabad,Andhra Pradesh
355,Bholakpur,500003.0,Hyderabad,Hyderabad,Andhra Pradesh
356,Bhongir,508116.0,Nalgonda,Bhongir,Andhra Pradesh
357,Bhongir Ganj,508116.0,Nalgonda,Nalgonda,Andhra Pradesh
358,Bhrugu Gadda,508224.0,Nalgonda,Nalgonda,Andhra Pradesh
359,Bhuktapur,504001.0,Adilabad,Adilabad,Andhra Pradesh
360,Bhupathirao Colony,507112.0,Khammam,Khammam,Andhra Pradesh
361,Bhutpur,509382.0,Mahboobnagar,Mahboobnagar,Andhra Pradesh
362,Bibinagar,508126.0,Nalgonda,Nalgonda,Andhra Pradesh
363,Bibipet,503125.0,Nizamabad,Nizamabad,Andhra Pradesh
364,Biccavolu,533343.0,East Godavari,East Godavari,Andhra Pradesh
365,Bichukonda,503306.0,Nizamabad,Nizamabad,Andhra Pradesh
366,Bijgirishareef,505475.0,Karimnagar,Karimnagar,Andhra Pradesh
367,Bijna Palle,509203.0,Mahboobnagar,Mahboobnagar,Andhra Pradesh
368,Bijnur,505475.0,Karimnagar,Karimnagar,Andhra Pradesh
369,Bijwar,509145.0,Mahboobnagar,Mahboobnagar,Andhra Pradesh
