,PostOfficeName,Pincode,DistrictsName,City,State
30005,Mandholi,332741.0,Sikar,Sikar,Rajasthan
30006,Mandi,325205.0,Kota,Kota,Rajasthan
30007,Mandi Khatikan,302002.0,Jaipur,Jaipur,Rajasthan
30008,Mandi Sri Ganganagar,335001.0,Ganganagar,Ganganagar,Rajasthan
30009,Mandore,341304.0,Nagaur,Nagaur,Rajasthan
30010,Mandore Road,342007.0,Jodhpur,Jodhpur,Rajasthan
30011,Mandrail,322251.0,Swaimadhopur,Swaimadhopur,Rajasthan
30012,Mandrella,333025.0,JhunJhunu,JhunJhunu,Rajasthan
30013,Mangalpura,326001.0,Jhalawar,Jhalawar,Rajasthan
30014,Manglana,341535.0,Nagaur,Nagaur,Rajasthan
30015,Mangliawas,305203.0,Ajmer,Ajmer,Rajasthan
30016,Mangloona,332044.0,Sikar,Sikar,Rajasthan
30017,Mangrol Chittorgarh,312620.0,Baran,Baran,Rajasthan
30018,Mangrol Kota,325215.0,Baran,Baran,Rajasthan
30019,Mangrop,311028.0,Bhilwara,Bhilwara,Rajasthan
30020,Mania,328024.0,Dholpur,Dholpur,Rajasthan
30021,Manohar Thana,326037.0,Jhalawar,Manohar Thana,Rajasthan
30022,Manoharpur,303104.0,Jaipur,Jaipur,Rajasthan
30023,Manpur Sikrai,303509.0,Jaipur,Jaipur,Rajasthan
30024,Marena Bharatpur,321027.0,Bharatpur,Bharatpur,Rajasthan
30025,Marena Dholpur,328029.0,Dholpur,Dholpur,Rajasthan
30026,Marg,332001.0,Sikar,Sikar,Rajasthan
30027,Maroth,341507.0,Nagaur,Nagaur,Rajasthan
30028,Marwar Jn,306001.0,Pali,Pali,Rajasthan
30029,Marwar Mundwa,341026.0,Nagaur,Nagaur,Rajasthan
30030,Massuria,342003.0,Jodhpur,Jodhpur,Rajasthan
30031,Masuda,305623.0,Ajmer,Ajmer,Rajasthan
30032,Masuda Bus Stand,305623.0,Ajmer,Ajmer,Rajasthan
30033,Matashya Industrial Area,305623.0,Ajmer,Ajmer,Rajasthan
30034,Mathania,342305.0,Jodhpur,Jodhpur,Rajasthan
30035,Mathugamda,314013.0,Dungarpur,Dungarpur,Rajasthan
30036,Mathura Darwaza Bharatpur,321001.0,Bharatpur,Bharatpur,Rajasthan
30037,Matili Rathan,335043.0,Ganganagar,Ganganagar,Rajasthan
30038,Mau,332735.0,Sikar,Sikar,Rajasthan
30039,Maujpur,321633.0,Dausa,Dausa,Rajasthan
30040,Maulasar,341506.0,Nagaur,Nagaur,Rajasthan
30041,Mavli Jn,313203.0,Udaipur,Udaipur,Rajasthan
30042,Mayo Ajmer,305001.0,Ajmer,Ajmer,Rajasthan
30043,Mehandwas,304805.0,Tonk,Tonk,Rajasthan
30044,Mehar,313613.0,Udaipur,Udaipur,Rajasthan
30045,Mehrauli,332603.0,Sikar,Sikar,Rajasthan
30046,Mental Hospital,302004.0,Jaipur,Jaipur,Rajasthan
30047,Merpur,307038.0,Jalore,Jalore,Rajasthan
30048,Merta City,341510.0,Nagaur,Merta City,Rajasthan
30049,Merta Kacheri,341510.0,Nagaur,Merta City,Rajasthan
30050,Merta Road,341511.0,Nagaur,Merta City,Rajasthan
30051,Merta Rs,341510.0,Nagaur,Merta City,Rajasthan
30052,Mewanagar,344025.0,Barmer,Barmer,Rajasthan
30053,Milakpur,321304.0,Bharatpur,Bharatpur,Rajasthan
30054,Mindha,303610.0,Nagaur,Nagaur,Rajasthan
30055,Mirshali Ajmer,305001.0,Ajmer,Ajmer,Rajasthan
30056,Mirzapur,322224.0,Swaimadhopur,Swaimadhopur,Rajasthan
30057,Mirzawala,335038.0,Ganganagar,Ganganagar,Rajasthan
30058,Mithki,341533.0,Nagaur,Nagaur,Rajasthan
30059,Modran,343028.0,Jalore,Jalore,Rajasthan
30060,Mohannagar,335706.0,Ganganagar,Ganganagar,Rajasthan
30061,Mohi,313338.0,Udaipur,Udaipur,Rajasthan
30062,Mohta Chowk Bikaner,334001.0,Bikaner,Bikaner,Rajasthan
30063,Mokala,341544.0,Nagaur,Nagaur,Rajasthan
30064,Mokalsar,343043.0,Barmer,Barmer,Rajasthan
30065,Momasar,331801.0,Churu,Churu,Rajasthan
30066,Monda R S,332711.0,Sikar,Sikar,Rajasthan
30067,Mor Ka Nimbahera,311026.0,Bhilwara,Bhilwara,Rajasthan
30068,Morak,326517.0,Kota,Kota,Rajasthan
30069,Moriza,303805.0,Jaipur,Jaipur,Rajasthan
30070,Moti Chowk,331403.0,Churu,Churu,Rajasthan
30071,Moti Dungri Road,302004.0,Jaipur,Jaipur,Rajasthan
30072,Moti Katla Bazar,302002.0,Jaipur,Jaipur,Rajasthan
30073,Mozamabad,303009.0,Jaipur,Jaipur,Rajasthan
30074,Mss Hatundi Ajmer,305008.0,Ajmer,Ajmer,Rajasthan
30075,Muk Lawa,335039.0,Ganganagar,Ganganagar,Rajasthan
30076,Mukandgarh,333705.0,JhunJhunu,Mukandgarh,Rajasthan
30077,Munabao,344503.0,Barmer,Barmer,Rajasthan
30078,Mundara,306705.0,Pali,Pali,Rajasthan
30079,Mundia Lalita,321634.0,Alwar,Alwar,Rajasthan
30080,Mundri Mohalla Ajmer,305001.0,Ajmer,Ajmer,Rajasthan
30081,Mundru,332712.0,Sikar,Sikar,Rajasthan
30082,Mungthala,307036.0,Jalore,Jalore,Rajasthan
30083,Nabipura,332306.0,Sikar,Sikar,Rajasthan
30084,Nachna,345028.0,Jaisalmer,Jaisalmer,Rajasthan
30085,Nadbai,321602.0,Bharatpur,Nadbai,Rajasthan
30086,Nadbai Town,321602.0,Bharatpur,Nadbai,Rajasthan
30087,Nadol,306603.0,Pali,Pali,Rajasthan
30088,Nadoti,322215.0,Karauli,Karauli,Rajasthan
30089,Nagaouriyon Ka Bas,342001.0,Jodhpur,Jodhpur,Rajasthan
30090,Nagar Bharatpur,321205.0,Bharatpur,Bharatpur,Rajasthan
30091,Nagaur,341001.0,Nagaur,Nagaur,Rajasthan
30092,Nagaur Banshiwala Temple,341001.0,Nagaur,Nagaur,Rajasthan
30093,Nagaur City,341001.0,Nagaur,Nagaur,Rajasthan
30094,Nagaur Loharpura,341001.0,Nagaur,Nagaur,Rajasthan
30095,Nagaur Police Line,341001.0,Nagaur,Nagaur,Rajasthan
30096,Nagauri Gate,342001.0,Jodhpur,Jodhpur,Rajasthan
30097,Naggi,335074.0,Ganganagar,Ganganagar,Rajasthan
30098,Nagra Ajmer,305001.0,Ajmer,Ajmer,Rajasthan
30099,Nai,313031.0,Udaipur,Udaipur,Rajasthan
30100,Nai Line Gangashahar,334401.0,Bikaner,Bikaner,Rajasthan
30101,Nainwan,323801.0,Bundi,Bundi,Rajasthan
30102,Naka Madar Ajmer,305007.0,Ajmer,Ajmer,Rajasthan
30103,Namana,323022.0,Bundi,Bundi,Rajasthan
30104,Nana,306504.0,Pali,Pali,Rajasthan
30105,Nand,344014.0,Barmer,Barmer,Rajasthan
30106,Nandanwan,342008.0,Jodhpur,Jodhpur,Rajasthan
30107,Nandeshma,313708.0,Udaipur,Udaipur,Rajasthan
30108,Nandia,307042.0,Jalore,Jalore,Rajasthan
30109,Nandia,307042.0,Jalore,Jalore,Rajasthan
30110,Nandpuri,302006.0,Jaipur,Jaipur,Rajasthan
30111,Nandrai,311608.0,Bhilwara,Bhilwara,Rajasthan
30112,Nangal Bersi,303307.0,Jaipur,Jaipur,Rajasthan
30113,Nangal Rajwatan,303505.0,Jaipur,Jaipur,Rajasthan
30114,Nangal Rajwatan,333042.0,JhunJhunu,JhunJhunu,Rajasthan
30115,Nanta,325007.0,Kota,Kota,Rajasthan
30116,Napasar,334201.0,Bikaner,Bikaner,Rajasthan
30117,Naraina,303348.0,Jaipur,Jaipur,Rajasthan
30118,Narainpur,301024.0,Alwar,Alwar,Rajasthan
30119,Narainpura,341527.0,Nagaur,Nagaur,Rajasthan
30120,Narauli Dang,322203.0,Swaimadhopur,Swaimadhopur,Rajasthan
30121,Nareheda,303105.0,Jaipur,Jaipur,Rajasthan
30122,Narhar,333035.0,JhunJhunu,JhunJhunu,Rajasthan
30123,Narharpur,321418.0,Bharatpur,Bharatpur,Rajasthan
30124,Nasirabad,305601.0,Ajmer,Nasirabad,Rajasthan
30125,Nasirabad,305601.0,Ajmer,Nasirabad,Rajasthan
30126,Nasirabad Sadar Bazar,305601.0,Ajmer,Nasirabad,Rajasthan
30127,Nasirda,304507.0,Tonk,Tonk,Rajasthan
30128,Nasoli,343034.0,Jalore,Jalore,Rajasthan
