"Name","Company","State","City","Salary","Location","Url"
"Data Scientist","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=478887&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_9a5010b3&cb=1587655232443&jobListingId=3346648744"
"Data Scientist","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=437149&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_af085ab6&cb=1587655232444&jobListingId=3230618980"
"Senior Data Analyst","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=945374&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_4b2d8d88&cb=1587655232445&jobListingId=3551155677"
"Data Scientist[ Image Processing, Computer Vision,tensorRT,keras]","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=437149&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_bad9a50c&cb=1587655232446&jobListingId=3552054231"
"Machine Learning Engineer","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=928676&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_2856a24b&cb=1587655232448&jobListingId=3550353133"
"Associate Architect - Data Science","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=815974&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_5007b338&cb=1587655232449&jobListingId=3521360261"
"Data Science Engineer","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=43297&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_105f9cf5&cb=1587655232451&jobListingId=3552248740"
"Revenue Operations Data Analyst","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=945374&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_15499f87&cb=1587655232452&jobListingId=3531693422"
"Data Engineer","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=883172&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_2d8b88eb&cb=1587655232453&jobListingId=3456468120"
"Bioinformatic (Data Scientist) -Variant analyst","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=437149&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_f89bc67f&cb=1587655232455&jobListingId=3555566085"
"Lead Data Scientist","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=807233&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_78f32401&cb=1587655232456&jobListingId=3297101235"
